gun,state,year,count_guns,latitude,longitude,n_killed,n_injured,fip,state_abbr,population,count_total_guns,gun_percentage,total_guns_per_1M
Shotgun,Georgia,2015,80,32.964618750000014,-83.39249500000001,5,11,13,GA,10178447,1289,6.2063615205585725,126.64014461145202
12 gauge,Georgia,2016,14,33.524023076923065,-84.2659153846154,1,1,13,GA,10301890,513,2.729044834307992,49.796687792240064
16 gauge,Georgia,2016,1,34.0866,-83.5937,0,0,13,GA,10301890,513,0.1949317738791423,49.796687792240064
20 gauge,Georgia,2016,3,34.099333333333334,-83.36326666666666,0,2,13,GA,10301890,513,0.5847953216374269,49.796687792240064
22 LR,Georgia,2016,28,33.31811923076923,-83.65038076923075,2,9,13,GA,10301890,513,5.458089668615984,49.796687792240064
25 Auto,Georgia,2016,4,32.891850000000005,-84.46119999999999,0,0,13,GA,10301890,513,0.7797270955165692,49.796687792240064
30-06 Spr,Georgia,2016,2,32.932,-84.01135,1,0,13,GA,10301890,513,0.3898635477582846,49.796687792240064
32 Auto,Georgia,2016,4,32.51585,-83.852425,0,1,13,GA,10301890,513,0.7797270955165692,49.796687792240064
357 Mag,Georgia,2016,4,33.591975,-84.8135,1,0,13,GA,10301890,513,0.7797270955165692,49.796687792240064
38 Spl,Georgia,2016,10,33.44212222222222,-84.49836666666667,1,1,13,GA,10301890,513,1.949317738791423,49.796687792240064
380 Auto,Georgia,2016,21,33.2601380952381,-83.96557619047618,3,6,13,GA,10301890,513,4.093567251461988,49.796687792240064
40 SW,Georgia,2016,21,33.28179523809525,-83.87734285714286,1,15,13,GA,10301890,513,4.093567251461988,49.796687792240064
410 gauge,Georgia,2016,2,34.0336,-84.32455,0,0,13,GA,10301890,513,0.3898635477582846,49.796687792240064
45 Auto,Georgia,2016,18,33.121637500000006,-83.65723125000001,4,1,13,GA,10301890,513,3.508771929824561,49.796687792240064
9mm,Georgia,2016,37,33.17807222222222,-83.74691111111113,3,8,13,GA,10301890,513,7.212475633528265,49.796687792240064
Handgun,Georgia,2016,249,33.02242168141588,-83.73987345132748,41,57,13,GA,10301890,513,48.538011695906434,49.796687792240064
