state,year,gun,count_guns,latitude,longitude,mean_n_killed,mean_n_injured,count_handgun,count_shotgun,fip,state_abbr,population
Arizona,2017,25 Auto,1,33.4326,-111.818,1.0,0.0,0,0,4, AZ,7044008
Arizona,2017,32 Auto,1,33.7131,-111.925,0.0,1.0,0,0,4, AZ,7044008
Arizona,2017,38 Spl,2,33.4222,-111.54799999999999,0.0,0.0,0,0,4, AZ,7044008
Arizona,2017,380 Auto,3,32.59643333333333,-110.19200000000001,0.3333333333333333,0.0,0,0,4, AZ,7044008
Arizona,2017,40 SW,4,33.019075,-111.5995,0.0,0.25,0,0,4, AZ,7044008
Arizona,2017,45 Auto,6,33.36496666666667,-112.22733333333332,0.0,0.16666666666666666,0,0,4, AZ,7044008
Arizona,2017,9mm,10,33.43348888888889,-112.18511111111111,0.2,0.4,0,0,4, AZ,7044008
Arizona,2017,Handgun,44,33.256571428571434,-111.69795238095237,0.45454545454545453,0.25,44,0,4, AZ,7044008
Arizona,2017,Other,1,33.5237,-112.065,0.0,0.0,0,0,4, AZ,7044008
Arizona,2017,Rifle,28,33.14617499999999,-111.71550000000003,0.10714285714285714,0.17857142857142858,0,0,4, AZ,7044008
Arizona,2017,Shotgun,16,33.5768,-111.997375,0.5,0.0,0,16,4, AZ,7044008
Arizona,2017,Unknown,626,33.33761056910569,-111.82967317073162,0.4329073482428115,0.46166134185303515,0,0,4, AZ,7044008
Arizona,2018,Handgun,16,33.485943750000004,-111.999625,0.5625,0.5,16,0,4, AZ,7158024
Arizona,2018,Rifle,2,33.42935,-111.961,0.5,0.0,0,0,4, AZ,7158024
Arizona,2018,Shotgun,2,34.21195,-113.523,0.5,0.0,0,2,4, AZ,7158024
Arizona,2018,Unknown,140,33.18031860465118,-111.8271162790698,0.6071428571428571,0.5428571428571428,0,0,4, AZ,7158024
Arkansas,2014,12 gauge,1,36.3262,-92.3814,0.0,1.0,0,0,5, AR,2967392
Arkansas,2014,22 LR,4,35.59335,-90.967075,0.0,0.5,0,0,5, AR,2967392
Arkansas,2014,308 Win,1,36.0859,-90.6228,0.0,1.0,0,0,5, AR,2967392
Arkansas,2014,357 Mag,1,35.8292,-90.7258,0.0,0.0,0,0,5, AR,2967392
Arkansas,2014,380 Auto,1,35.648,-91.1353,0.0,0.0,0,0,5, AR,2967392
Arkansas,2014,40 SW,4,35.242775,-93.072375,0.25,0.5,0,0,5, AR,2967392
Arkansas,2014,45 Auto,4,35.5901,-92.90317499999999,0.25,0.0,0,0,5, AR,2967392
Arkansas,2014,9mm,5,34.832460000000005,-92.54249999999999,0.4,0.8,0,0,5, AR,2967392
Arkansas,2014,Handgun,10,35.17535,-92.72214999999998,0.3,0.3,10,0,5, AR,2967392
Arkansas,2014,Other,1,34.673,-92.3477,0.0,0.0,0,0,5, AR,2967392
Arkansas,2014,Shotgun,7,34.620757142857144,-92.84228571428572,0.14285714285714285,0.2857142857142857,0,7,5, AR,2967392
Arkansas,2014,Unknown,90,34.860470786516856,-92.24994269662933,0.37777777777777777,0.2222222222222222,0,0,5, AR,2967392
Arkansas,2015,10mm,1,35.3842,-92.2157,0.0,0.0,0,0,5, AR,2978048
Arkansas,2015,12 gauge,4,35.29345,-91.884025,0.5,0.0,0,0,5, AR,2978048
Arkansas,2015,20 gauge,1,35.3747,-94.4307,1.0,0.0,0,0,5, AR,2978048
Arkansas,2015,22 LR,6,36.00705,-92.40388333333333,0.0,0.16666666666666666,0,0,5, AR,2978048
