state,year,count_perpetrators,latitude,longitude,mean_n_killed,mean_n_injured,mean_age,count_underages,count_males,count_females,fip,state_abbr,population,underages_ratio,male_pctg,female_pctg,perpetrators_per_1M
Kentucky,2017,832,37.7486324754902,-85.64474387254909,0.29447115384615385,0.36899038461538464,31.111711711711713,78.0,686,77,21,KY,4452268,0.09375,89.90825688073394,10.091743119266056,186.87105088911989
Kentucky,2018,169,37.743294512195135,-85.38918170731701,0.34911242603550297,0.44970414201183434,33.07936507936508,12.0,151,12,21,KY,4461153,0.07100591715976332,92.63803680981596,7.361963190184049,37.88258326939246
Louisiana,2013,18,30.213372222222233,-90.56719444444444,0.5,6.722222222222222,23.142857142857142,3.0,17,0,22,LA,4624527,0.16666666666666666,100.0,0.0,3.8922899574378094
Louisiana,2014,1665,30.500498370549245,-91.13018865419433,0.18138138138138138,0.44264264264264264,26.58313539192399,148.0,1488,76,22,LA,4644013,0.08888888888888889,95.14066496163683,4.859335038363171,358.52612815683335
Louisiana,2015,1511,30.45904517218098,-91.03933862255225,0.2739907346128392,0.5413633355393779,27.74158523344191,175.0,1269,73,22,LA,4664628,0.1158173395102581,94.56035767511177,5.439642324888227,323.92722420737516
Louisiana,2016,2012,30.623209769792343,-91.23680668163946,0.2271371769383698,0.45974155069582506,27.58514492753623,180.0,1710,112,22,LA,4678135,0.08946322067594434,93.85290889132821,6.147091108671789,430.0859209920193
Louisiana,2017,1563,30.618141737985486,-91.27198281764325,0.26103646833013433,0.47856685860524634,27.856850715746422,162.0,1343,84,22,LA,4670560,0.1036468330134357,94.11352487736511,5.886475122634899,334.64937823301705
Louisiana,2018,324,30.569219188191877,-91.22415571955723,0.25,0.46296296296296297,25.862559241706162,51.0,278,19,22,LA,4659690,0.1574074074074074,93.6026936026936,6.397306397306397,69.53252254978335
Maine,2014,170,44.34977235294118,-69.8041811764706,0.10588235294117647,0.11764705882352941,34.751773049645394,4.0,143,21,23,ME,1330513,0.023529411764705882,87.1951219512195,12.804878048780488,127.77026605527341
Maine,2015,203,44.30729211822664,-69.7004418719211,0.13793103448275862,0.18719211822660098,34.27322404371585,10.0,174,26,23,ME,1328262,0.04926108374384237,87.0,13.0,152.83129382606745
Maine,2016,185,44.212607608695656,-69.82445108695653,0.08648648648648649,0.17297297297297298,33.22981366459627,10.0,166,17,23,ME,1331317,0.05405405405405406,90.7103825136612,9.289617486338798,138.96014247545853
Maine,2017,183,44.318663888888864,-69.76083166666672,0.15300546448087432,0.1912568306010929,34.3125,10.0,165,18,23,ME,1334612,0.0546448087431694,90.1639344262295,9.836065573770492,137.1185033552823
Maine,2018,46,44.29998124999999,-69.83478124999998,0.15217391304347827,0.08695652173913043,34.56818181818182,1.0,34,10,23,ME,1339057,0.021739130434782608,77.27272727272727,22.727272727272727,34.3525331632634
Maryland,2013,3,39.29763333333333,-76.6271,1.0,2.0,29.666666666666668,0.0,3,0,24,MD,5923188,0.0,100.0,0.0,0.5064840082739228
Maryland,2014,672,39.149525187406304,-76.70822863568227,0.15178571428571427,0.30505952380952384,29.982456140350877,25.0,555,20,24,MD,5957283,0.03720238095238095,96.52173913043478,3.4782608695652173,112.80310168242805
Maryland,2015,521,39.21202205029005,-76.70821528046416,0.21880998080614203,0.31477927063339733,29.093567251461987,50.0,422,28,24,MD,5985562,0.09596928982725528,93.77777777777777,6.222222222222222,87.0427872938247
Maryland,2016,732,39.21149479015926,-76.67490520984097,0.2718579234972678,0.39617486338797814,27.45372050816697,70.0,650,25,24,MD,6003323,0.09562841530054644,96.29629629629629,3.7037037037037037,121.93246973384574
